Signal_ID,Client_ID,Client_Type,Alarm_Type,Technical_Signal,Zone,Date,Time,Shift,Priority_Level,Handled_By,Agent_Seniority,Response_Time_Min,Resolution_Time_Min,Incident,Police_Called,Fire_Department_Called,Escalated,False_Alarm_Reason,Outcome_Category
S00300,C2140,School,Fire,Heat Sensor,Zone 6 – Office,2025-02-18,16:17,2nd,Medium,E01,Senior,1,9,No,No,No,No,User error,False Alarm – User error
S00301,C2064,Shop,Tamper,Tamper Detected,Zone 0 – Control Panel,2025-01-11,16:47,2nd,High,E06,Junior,5,14,No,No,No,No,Animal,False Alarm – Animal
S00302,C2061,Shop,Technical,Power Loss,Zone 6 – Office,2025-01-26,00:49,3rd,Medium,E09,Junior,9,23,No,No,No,No,Maintenance,False Alarm – Maintenance
S00303,C2053,Shop,Burglary,Motion Detected,Zone 1 – Main Door,2025-06-03,10:52,1st,High,E06,Junior,10,17,No,No,No,No,User error,False Alarm – User error
S00304,C2147,School,Technical,Low Battery,Zone 6 – Office,2025-02-12,03:18,3rd,Low,E07,Junior,7,9,No,No,No,No,N/A,Unclassified
S00305,C2033,Office,Technical,Power Restored,Zone 7 – Storage,2025-05-03,19:55,2nd,Low,E05,Mid,7,22,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00306,C2101,Warehouse,Technical,Power Restored,Zone 8 – Control Room,2025-02-20,10:48,1st,Low,E04,Mid,8,17,No,No,No,No,N/A,Unclassified
S00307,C2024,Home,Tamper,Cover Removed,Zone 4 – Kitchen,2025-02-03,08:40,1st,Medium,E06,Junior,12,14,No,No,No,No,Maintenance,False Alarm – Maintenance
S00308,C2118,Warehouse,Burglary,Glass Break,Zone 7 – Storage,2025-06-05,16:46,2nd,Critical,E05,Mid,7,49,Yes,Yes,No,Yes,N/A,Forced Entry
S00309,C2073,Shop,Technical,Power Restored,Zone 0 – Control Panel,2025-05-26,19:20,2nd,Medium,E08,Junior,14,16,No,No,No,No,Power outage,False Alarm – Power outage
S00310,C2118,Warehouse,Panic Button,Emergency Triggered,Zone 1 – Main Door,2025-04-18,08:40,1st,Critical,E05,Mid,7,76,Yes,Yes,No,Yes,N/A,Fire Confirmed
S00311,C2078,Factory,Burglary,Alarm Triggered,Zone 5 – Garage,2025-02-25,01:56,3rd,Low,E09,Junior,9,21,No,No,No,No,Dust,False Alarm – Dust
S00312,C2102,Warehouse,Burglary,Motion Detected,Zone 7 – Storage,2025-02-23,17:03,2nd,Medium,E06,Junior,10,12,No,No,No,No,Animal,False Alarm – Animal
S00313,C2020,Home,Tamper,Tamper Detected,Zone 2 – Living Room,2025-05-03,10:30,1st,High,E05,Mid,9,67,Yes,No,No,No,N/A,Confirmed Intrusion
S00314,C2034,Office,Fire,Smoke Detected,Zone 0 – Control Panel,2025-01-15,21:44,2nd,High,E08,Junior,13,41,Yes,No,Yes,Yes,N/A,Confirmed Intrusion
S00315,C2077,Factory,Panic Button,Duress Code,Zone 5 – Garage,2025-03-13,04:23,3rd,Critical,E02,Senior,4,27,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00316,C2090,Factory,Tamper,Tamper Detected,Zone 5 – Garage,2025-04-10,17:28,2nd,High,E02,Senior,2,5,No,No,No,No,User error,False Alarm – User error
S00317,C2032,Office,Fire,Heat Sensor,Zone 9 – Hallway,2025-06-13,08:08,1st,Critical,E01,Senior,3,35,Yes,No,Yes,Yes,N/A,Fire Confirmed
S00318,C2022,Home,Burglary,Motion Detected,Zone 2 – Living Room,2025-06-10,11:41,1st,High,E01,Senior,2,17,No,No,No,No,Environmental,False Alarm – Environmental
S00319,C2133,School,Burglary,Motion Detected,Zone 8 – Control Room,2025-05-23,11:13,1st,Medium,E06,Junior,12,26,No,No,No,No,Animal,False Alarm – Animal
S00320,C2099,Factory,Burglary,Glass Break,Zone 1 – Main Door,2025-06-02,02:31,3rd,Critical,E05,Mid,4,20,Yes,Yes,No,Yes,N/A,Emergency Confirmed
S00321,C2100,Factory,Fire,Gas Leak,Zone 7 – Storage,2025-03-08,20:08,2nd,Critical,E06,Junior,11,86,Yes,No,Yes,Yes,N/A,Confirmed Intrusion
S00322,C2018,Home,Burglary,Alarm Triggered,Zone 1 – Main Door,2025-04-12,15:37,2nd,Medium,E01,Senior,3,25,Yes,No,No,No,N/A,Forced Entry
S00323,C2129,School,Fire,Gas Leak,Zone 0 – Control Panel,2025-04-07,19:40,2nd,Critical,E03,Mid,9,43,Yes,No,Yes,Yes,N/A,Emergency Confirmed
S00324,C2021,Home,Burglary,Glass Break,Zone 5 – Garage,2025-01-13,16:19,2nd,Medium,E08,Junior,8,22,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00325,C2112,Warehouse,Burglary,Glass Break,Zone 5 – Garage,2025-01-27,16:19,2nd,Medium,E06,Junior,8,78,Yes,No,No,No,N/A,Confirmed Intrusion
S00326,C2015,Home,Tamper,Tamper Detected,Zone 3 – Bedroom,2025-02-27,14:39,1st,Low,E10,Mid,9,13,No,No,No,No,Animal,False Alarm – Animal
S00327,C2134,School,Technical,Power Loss,Zone 8 – Control Room,2025-01-02,22:22,2nd,Low,E05,Mid,8,21,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00328,C2008,Home,Tamper,Cover Removed,Zone 3 – Bedroom,2025-02-05,00:49,3rd,Medium,E07,Junior,6,18,No,No,No,No,Maintenance,False Alarm – Maintenance
S00329,C2117,Warehouse,Burglary,Alarm Triggered,Zone 0 – Control Panel,2025-02-24,16:31,2nd,Low,E05,Mid,5,9,No,No,No,No,Dust,False Alarm – Dust
S00330,C2027,Office,Fire,Heat Sensor,Zone 9 – Hallway,2025-05-20,03:49,3rd,Medium,E04,Mid,9,24,No,No,No,No,Animal,False Alarm – Animal
S00331,C2012,Home,Burglary,Alarm Triggered,Zone 4 – Kitchen,2025-01-23,15:15,2nd,Critical,E10,Mid,8,10,No,No,No,No,Environmental,False Alarm – Environmental
S00332,C2083,Factory,Burglary,Alarm Triggered,Zone 5 – Garage,2025-05-01,05:14,3rd,High,E03,Mid,8,70,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00333,C2058,Shop,Technical,Low Battery,Zone 7 – Storage,2025-02-01,07:11,1st,Medium,E08,Junior,9,24,No,No,No,No,N/A,Unclassified
S00334,C2080,Factory,Burglary,Glass Break,Zone 8 – Control Room,2025-03-07,19:49,2nd,Critical,E02,Senior,2,89,Yes,Yes,No,Yes,N/A,Emergency Confirmed
S00335,C2095,Factory,Burglary,Alarm Triggered,Zone 7 – Storage,2025-03-16,02:29,3rd,Medium,E09,Junior,12,17,No,No,No,No,Environmental,False Alarm – Environmental
S00336,C2105,Warehouse,Burglary,Glass Break,Zone 1 – Main Door,2025-03-01,01:00,3rd,High,E09,Junior,14,21,No,No,No,No,Animal,False Alarm – Animal
S00337,C2097,Factory,Tamper,Tamper Detected,Zone 8 – Control Room,2025-02-11,15:48,2nd,Low,E07,Junior,16,18,No,No,No,No,Power outage,False Alarm – Power outage
S00338,C2072,Shop,Burglary,Glass Break,Zone 1 – Main Door,2025-03-08,01:45,3rd,Medium,E02,Senior,3,10,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00339,C2022,Home,Burglary,Glass Break,Zone 5 – Garage,2025-05-29,14:47,1st,Medium,E03,Mid,7,18,No,No,No,No,Maintenance,False Alarm – Maintenance
S00340,C2034,Office,Burglary,Alarm Triggered,Zone 6 – Office,2025-01-10,23:27,3rd,High,E08,Junior,13,26,No,No,No,No,Power outage,False Alarm – Power outage
S00341,C2116,Warehouse,Burglary,Glass Break,Zone 7 – Storage,2025-06-13,20:20,2nd,Low,E09,Junior,10,21,No,No,No,No,Environmental,False Alarm – Environmental
S00342,C2028,Office,Tamper,Cover Removed,Zone 6 – Office,2025-06-18,00:09,3rd,High,E02,Senior,3,17,No,No,No,No,Dust,False Alarm – Dust
S00343,C2079,Factory,Burglary,Alarm Triggered,Zone 0 – Control Panel,2025-05-29,10:28,1st,Low,E10,Mid,8,23,No,No,No,No,Dust,False Alarm – Dust
S00344,C2084,Factory,Technical,Low Battery,Zone 5 – Garage,2025-04-06,15:13,2nd,Low,E08,Junior,17,29,No,No,No,No,Power outage,False Alarm – Power outage
S00345,C2045,Office,Burglary,Alarm Triggered,Zone 1 – Main Door,2025-03-01,03:16,3rd,Critical,E01,Senior,1,28,Yes,Yes,No,Yes,N/A,Forced Entry
S00346,C2036,Office,Tamper,Tamper Detected,Zone 1 – Main Door,2025-01-31,08:51,1st,Low,E05,Mid,9,14,No,No,No,No,User error,False Alarm – User error
S00347,C2022,Home,Tamper,Cover Removed,Zone 5 – Garage,2025-05-10,21:23,2nd,Low,E06,Junior,9,18,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00348,C2085,Factory,Burglary,Glass Break,Zone 1 – Main Door,2025-05-17,09:05,1st,Critical,E02,Senior,1,71,Yes,No,No,No,N/A,Forced Entry
S00349,C2098,Factory,Tamper,Tamper Detected,Zone 0 – Control Panel,2025-04-25,14:01,1st,Medium,E06,Junior,7,16,No,No,No,No,Dust,False Alarm – Dust
S00350,C2063,Shop,Burglary,Alarm Triggered,Zone 8 – Control Room,2025-04-11,17:02,2nd,Critical,E05,Mid,8,30,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00351,C2036,Office,Tamper,Tamper Detected,Zone 0 – Control Panel,2025-05-04,03:24,3rd,Low,E08,Junior,19,28,No,No,No,No,Dust,False Alarm – Dust
S00352,C2145,School,Fire,Gas Leak,Zone 8 – Control Room,2025-01-07,22:22,2nd,Critical,E01,Senior,1,44,Yes,No,Yes,Yes,N/A,Confirmed Intrusion
S00353,C2121,Warehouse,Burglary,Alarm Triggered,Zone 0 – Control Panel,2025-03-27,03:03,3rd,Medium,E02,Senior,4,9,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00354,C2015,Home,Burglary,Motion Detected,Zone 2 – Living Room,2025-05-29,03:34,3rd,Critical,E04,Mid,6,43,Yes,Yes,No,Yes,N/A,Fire Confirmed
S00355,C2082,Factory,Technical,Low Battery,Zone 8 – Control Room,2025-03-06,10:37,1st,Low,E06,Junior,10,21,No,No,No,No,Maintenance,False Alarm – Maintenance
S00356,C2127,School,Technical,Power Loss,Zone 8 – Control Room,2025-05-19,18:53,2nd,Low,E02,Senior,2,4,No,No,No,No,Power outage,False Alarm – Power outage
S00357,C2057,Shop,Technical,Sensor Fault,Zone 1 – Main Door,2025-01-26,10:38,1st,Low,E03,Mid,8,22,No,No,No,No,Maintenance,False Alarm – Maintenance
S00358,C2046,Office,Fire,Smoke Detected,Zone 8 – Control Room,2025-06-29,01:21,3rd,Medium,E10,Mid,8,41,Yes,No,No,No,N/A,Confirmed Intrusion
S00359,C2096,Factory,Tamper,Tamper Detected,Zone 0 – Control Panel,2025-04-23,04:04,3rd,Medium,E04,Mid,6,19,No,No,No,No,User error,False Alarm – User error
S00360,C2125,Warehouse,Technical,Power Restored,Zone 7 – Storage,2025-01-29,13:50,1st,Low,E03,Mid,10,18,No,No,No,No,Maintenance,False Alarm – Maintenance
S00361,C2076,Factory,Fire,Smoke Detected,Zone 5 – Garage,2025-01-21,03:46,3rd,Medium,E04,Mid,4,19,No,No,No,No,Power outage,False Alarm – Power outage
S00362,C2082,Factory,Fire,Smoke Detected,Zone 7 – Storage,2025-05-25,07:11,1st,Medium,E02,Senior,2,5,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00363,C2082,Factory,Fire,Heat Sensor,Zone 5 – Garage,2025-06-09,02:22,3rd,Medium,E01,Senior,3,10,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00364,C2068,Shop,Fire,Smoke Detected,Zone 6 – Office,2025-06-01,14:00,1st,Medium,E04,Mid,8,10,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00365,C2113,Warehouse,Burglary,Glass Break,Zone 8 – Control Room,2025-06-08,07:24,1st,Critical,E06,Junior,8,92,Yes,Yes,No,Yes,N/A,Forced Entry
S00366,C2123,Warehouse,Technical,Power Restored,Zone 0 – Control Panel,2025-01-05,16:53,2nd,Low,E01,Senior,3,9,No,No,No,No,Power outage,False Alarm – Power outage
S00367,C2067,Shop,Burglary,Glass Break,Zone 1 – Main Door,2025-05-18,07:20,1st,High,E10,Mid,9,33,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00368,C2124,Warehouse,Tamper,Cover Removed,Zone 1 – Main Door,2025-06-02,04:38,3rd,Low,E01,Senior,2,5,No,No,No,No,Animal,False Alarm – Animal
S00369,C2049,Office,Tamper,Cover Removed,Zone 0 – Control Panel,2025-02-05,20:13,2nd,Medium,E06,Junior,9,20,No,No,No,No,Power outage,False Alarm – Power outage
S00370,C2014,Home,Burglary,Glass Break,Zone 3 – Bedroom,2025-04-24,14:09,1st,Critical,E03,Mid,7,83,Yes,Yes,No,Yes,N/A,Fire Confirmed
S00371,C2053,Shop,Panic Button,Duress Code,Zone 6 – Office,2025-01-02,16:01,2nd,High,E07,Junior,13,78,Yes,Yes,No,Yes,N/A,Forced Entry
S00372,C2068,Shop,Burglary,Motion Detected,Zone 1 – Main Door,2025-01-11,14:57,1st,Critical,E04,Mid,9,71,Yes,No,No,No,N/A,Fire Confirmed
S00373,C2068,Shop,Panic Button,Duress Code,Zone 9 – Hallway,2025-06-02,22:02,2nd,Critical,E03,Mid,6,28,Yes,Yes,No,Yes,N/A,Fire Confirmed
S00374,C2089,Factory,Technical,Sensor Fault,Zone 7 – Storage,2025-06-21,08:05,1st,Low,E06,Junior,9,24,No,No,No,No,N/A,Unclassified
S00375,C2122,Warehouse,Technical,Power Restored,Zone 0 – Control Panel,2025-05-02,05:34,3rd,Medium,E08,Junior,17,27,No,No,No,No,Power outage,False Alarm – Power outage
S00376,C2115,Warehouse,Technical,Power Restored,Zone 5 – Garage,2025-05-21,09:07,1st,Low,E07,Junior,12,14,No,No,No,No,Maintenance,False Alarm – Maintenance
S00377,C2112,Warehouse,Burglary,Motion Detected,Zone 5 – Garage,2025-05-15,13:05,1st,Medium,E04,Mid,5,19,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00378,C2100,Factory,Burglary,Alarm Triggered,Zone 7 – Storage,2025-04-02,08:05,1st,High,E02,Senior,3,5,No,No,No,No,Environmental,False Alarm – Environmental
S00379,C2107,Warehouse,Burglary,Glass Break,Zone 5 – Garage,2025-06-29,05:07,3rd,Low,E05,Mid,8,22,No,No,No,No,Animal,False Alarm – Animal
S00380,C2138,School,Tamper,Cover Removed,Zone 6 – Office,2025-06-20,03:55,3rd,Medium,E06,Junior,12,21,No,No,No,No,Maintenance,False Alarm – Maintenance
S00381,C2071,Shop,Tamper,Tamper Detected,Zone 9 – Hallway,2025-04-28,15:11,2nd,High,E08,Junior,18,23,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00382,C2122,Warehouse,Panic Button,Duress Code,Zone 7 – Storage,2025-04-21,07:47,1st,High,E08,Junior,19,34,No,No,No,No,Dust,False Alarm – Dust
S00383,C2026,Office,Technical,Power Restored,Zone 6 – Office,2025-04-18,06:54,3rd,Low,E02,Senior,4,18,No,No,No,No,N/A,Unclassified
S00384,C2107,Warehouse,Technical,Low Battery,Zone 0 – Control Panel,2025-01-10,04:17,3rd,Low,E06,Junior,9,22,No,No,No,No,N/A,Unclassified
S00385,C2133,School,Tamper,Tamper Detected,Zone 6 – Office,2025-03-07,14:48,1st,Low,E06,Junior,7,11,No,No,No,No,Power outage,False Alarm – Power outage
S00386,C2050,Office,Technical,Low Battery,Zone 6 – Office,2025-03-11,23:11,3rd,Low,E04,Mid,5,12,No,No,No,No,Power outage,False Alarm – Power outage
S00387,C2095,Factory,Tamper,Cover Removed,Zone 0 – Control Panel,2025-05-05,18:17,2nd,Low,E03,Mid,7,18,No,No,No,No,Power outage,False Alarm – Power outage
S00388,C2122,Warehouse,Burglary,Motion Detected,Zone 0 – Control Panel,2025-02-23,06:11,3rd,High,E06,Junior,8,56,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00389,C2099,Factory,Fire,Smoke Detected,Zone 1 – Main Door,2025-01-04,11:01,1st,High,E05,Mid,7,12,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00390,C2105,Warehouse,Panic Button,Emergency Triggered,Zone 0 – Control Panel,2025-01-03,11:41,1st,High,E06,Junior,13,50,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00391,C2079,Factory,Fire,Gas Leak,Zone 8 – Control Room,2025-05-12,10:16,1st,Critical,E04,Mid,6,15,No,No,No,No,User error,False Alarm – User error
S00392,C2134,School,Burglary,Alarm Triggered,Zone 8 – Control Room,2025-05-27,19:43,2nd,Low,E01,Senior,2,64,Yes,No,No,No,N/A,Emergency Confirmed
S00393,C2028,Office,Technical,Low Battery,Zone 0 – Control Panel,2025-04-19,03:43,3rd,Low,E03,Mid,7,22,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00394,C2077,Factory,Burglary,Glass Break,Zone 5 – Garage,2025-06-22,11:16,1st,Medium,E05,Mid,9,23,No,No,No,No,Environmental,False Alarm – Environmental
S00395,C2082,Factory,Burglary,Motion Detected,Zone 5 – Garage,2025-05-26,21:42,2nd,Low,E08,Junior,20,28,No,No,No,No,Power outage,False Alarm – Power outage
S00396,C2010,Home,Fire,Heat Sensor,Zone 5 – Garage,2025-04-28,21:47,2nd,High,E06,Junior,13,96,Yes,No,Yes,Yes,N/A,Forced Entry
S00397,C2077,Factory,Fire,Heat Sensor,Zone 5 – Garage,2025-02-16,12:32,1st,High,E08,Junior,15,63,Yes,No,Yes,Yes,N/A,Fire Confirmed
S00398,C2023,Home,Panic Button,Duress Code,Zone 2 – Living Room,2025-05-24,12:41,1st,Critical,E09,Junior,7,64,Yes,Yes,No,Yes,N/A,Emergency Confirmed
S00399,C2076,Factory,Burglary,Glass Break,Zone 0 – Control Panel,2025-01-03,11:37,1st,Critical,E07,Junior,12,101,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00400,C2050,Office,Burglary,Glass Break,Zone 9 – Hallway,2025-04-19,06:56,3rd,Critical,E07,Junior,6,40,Yes,Yes,No,Yes,N/A,Fire Confirmed
S00401,C2105,Warehouse,Technical,Sensor Fault,Zone 0 – Control Panel,2025-06-03,02:21,3rd,Low,E03,Mid,6,20,No,No,No,No,Maintenance,False Alarm – Maintenance
S00402,C2086,Factory,Tamper,Cover Removed,Zone 5 – Garage,2025-01-05,00:31,3rd,Low,E01,Senior,3,17,No,No,No,No,Environmental,False Alarm – Environmental
S00403,C2041,Office,Fire,Smoke Detected,Zone 0 – Control Panel,2025-02-08,17:36,2nd,High,E07,Junior,10,18,No,No,No,No,Power outage,False Alarm – Power outage
S00404,C2002,Home,Fire,Heat Sensor,Zone 1 – Main Door,2025-03-01,14:24,1st,High,E09,Junior,12,26,No,No,No,No,Dust,False Alarm – Dust
S00405,C2002,Home,Burglary,Motion Detected,Zone 9 – Hallway,2025-02-05,10:01,1st,Medium,E01,Senior,3,7,No,No,No,No,Dust,False Alarm – Dust
S00406,C2129,School,Tamper,Cover Removed,Zone 8 – Control Room,2025-05-18,08:24,1st,Low,E05,Mid,5,11,No,No,No,No,N/A,Unclassified
S00407,C2134,School,Fire,Heat Sensor,Zone 8 – Control Room,2025-03-11,14:46,1st,Critical,E01,Senior,2,34,Yes,No,Yes,Yes,N/A,Emergency Confirmed
S00408,C2049,Office,Burglary,Alarm Triggered,Zone 6 – Office,2025-06-10,06:22,3rd,Low,E03,Mid,4,9,No,No,No,No,User error,False Alarm – User error
S00409,C2130,School,Technical,Low Battery,Zone 9 – Hallway,2025-06-09,23:37,3rd,Low,E06,Junior,7,15,No,No,No,No,Power outage,False Alarm – Power outage
S00410,C2137,School,Technical,Low Battery,Zone 8 – Control Room,2025-02-26,19:49,2nd,Low,E02,Senior,2,4,No,No,No,No,Power outage,False Alarm – Power outage
S00411,C2114,Warehouse,Panic Button,Emergency Triggered,Zone 8 – Control Room,2025-03-28,08:26,1st,Critical,E03,Mid,7,23,Yes,Yes,No,Yes,N/A,Emergency Confirmed
S00412,C2026,Office,Tamper,Cover Removed,Zone 7 – Storage,2025-06-18,13:42,1st,Low,E05,Mid,7,20,No,No,No,No,Maintenance,False Alarm – Maintenance
S00413,C2030,Office,Panic Button,Duress Code,Zone 1 – Main Door,2025-03-12,00:18,3rd,Critical,E10,Mid,7,88,Yes,Yes,No,Yes,N/A,Fire Confirmed
S00414,C2105,Warehouse,Tamper,Tamper Detected,Zone 7 – Storage,2025-02-12,12:45,1st,Low,E06,Junior,7,16,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00415,C2001,Home,Burglary,Motion Detected,Zone 1 – Main Door,2025-04-08,20:15,2nd,Low,E09,Junior,12,21,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00416,C2131,School,Fire,Heat Sensor,Zone 1 – Main Door,2025-04-08,01:05,3rd,Medium,E07,Junior,14,20,No,No,No,No,Power outage,False Alarm – Power outage
S00417,C2013,Home,Fire,Smoke Detected,Zone 1 – Main Door,2025-03-17,11:29,1st,Medium,E08,Junior,10,17,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00418,C2030,Office,Burglary,Glass Break,Zone 1 – Main Door,2025-03-04,21:47,2nd,Low,E08,Junior,12,19,No,No,No,No,User error,False Alarm – User error
S00419,C2113,Warehouse,Tamper,Cover Removed,Zone 0 – Control Panel,2025-06-03,12:57,1st,Low,E05,Mid,7,15,No,No,No,No,Animal,False Alarm – Animal
S00420,C2070,Shop,Burglary,Motion Detected,Zone 9 – Hallway,2025-04-26,05:29,3rd,Critical,E03,Mid,6,10,No,No,No,No,Environmental,False Alarm – Environmental
S00421,C2016,Home,Panic Button,Emergency Triggered,Zone 2 – Living Room,2025-02-27,00:08,3rd,Critical,E04,Mid,6,18,No,No,No,No,Maintenance,False Alarm – Maintenance
S00422,C2098,Factory,Fire,Heat Sensor,Zone 8 – Control Room,2025-02-13,22:11,2nd,Medium,E02,Senior,2,6,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00423,C2125,Warehouse,Fire,Gas Leak,Zone 1 – Main Door,2025-06-29,22:58,2nd,Critical,E01,Senior,1,56,Yes,No,Yes,Yes,N/A,Confirmed Intrusion
S00424,C2087,Factory,Burglary,Motion Detected,Zone 7 – Storage,2025-01-12,18:42,2nd,Low,E08,Junior,11,18,No,No,No,No,Power outage,False Alarm – Power outage
S00425,C2143,School,Burglary,Glass Break,Zone 8 – Control Room,2025-06-13,13:09,1st,Low,E06,Junior,4,13,No,No,No,No,Environmental,False Alarm – Environmental
S00426,C2043,Office,Tamper,Cover Removed,Zone 1 – Main Door,2025-01-12,14:55,1st,Medium,E04,Mid,9,19,No,No,No,No,Animal,False Alarm – Animal
S00427,C2097,Factory,Technical,Power Restored,Zone 0 – Control Panel,2025-01-27,10:35,1st,Low,E02,Senior,2,5,No,No,No,No,N/A,Unclassified
S00428,C2081,Factory,Technical,Sensor Fault,Zone 1 – Main Door,2025-04-11,06:28,3rd,Low,E04,Mid,6,8,No,No,No,No,N/A,Unclassified
S00429,C2024,Home,Technical,Power Loss,Zone 5 – Garage,2025-04-20,07:52,1st,Low,E08,Junior,19,34,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00430,C2058,Shop,Burglary,Alarm Triggered,Zone 9 – Hallway,2025-03-04,15:52,2nd,Critical,E06,Junior,11,83,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00431,C2057,Shop,Technical,Power Loss,Zone 1 – Main Door,2025-06-11,08:48,1st,Low,E05,Mid,9,19,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00432,C2028,Office,Burglary,Glass Break,Zone 1 – Main Door,2025-01-25,04:44,3rd,Critical,E03,Mid,11,78,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00433,C2051,Shop,Panic Button,Emergency Triggered,Zone 6 – Office,2025-01-09,03:39,3rd,Critical,E05,Mid,6,45,Yes,Yes,No,Yes,N/A,Emergency Confirmed
S00434,C2107,Warehouse,Burglary,Motion Detected,Zone 1 – Main Door,2025-06-24,16:48,2nd,Low,E03,Mid,3,14,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00435,C2002,Home,Panic Button,Emergency Triggered,Zone 5 – Garage,2025-05-11,01:31,3rd,Critical,E02,Senior,2,16,No,No,No,No,Maintenance,False Alarm – Maintenance
S00436,C2149,School,Fire,Heat Sensor,Zone 9 – Hallway,2025-02-03,09:44,1st,High,E07,Junior,16,72,Yes,No,Yes,Yes,N/A,Forced Entry
S00437,C2064,Shop,Fire,Gas Leak,Zone 0 – Control Panel,2025-01-23,21:38,2nd,Critical,E07,Junior,12,16,No,No,No,No,User error,False Alarm – User error
S00438,C2132,School,Tamper,Cover Removed,Zone 6 – Office,2025-06-12,13:38,1st,Low,E02,Senior,3,15,No,No,No,No,Dust,False Alarm – Dust
S00439,C2034,Office,Tamper,Tamper Detected,Zone 7 – Storage,2025-06-17,12:58,1st,Medium,E02,Senior,3,12,No,No,No,No,Maintenance,False Alarm – Maintenance
S00440,C2137,School,Burglary,Alarm Triggered,Zone 6 – Office,2025-02-16,13:43,1st,Low,E01,Senior,2,6,No,No,No,No,N/A,Unclassified
S00441,C2015,Home,Tamper,Cover Removed,Zone 2 – Living Room,2025-04-27,15:42,2nd,Low,E09,Junior,12,27,No,No,No,No,User error,False Alarm – User error
S00442,C2076,Factory,Tamper,Tamper Detected,Zone 5 – Garage,2025-03-18,23:44,3rd,Medium,E08,Junior,11,23,No,No,No,No,Environmental,False Alarm – Environmental
S00443,C2144,School,Fire,Smoke Detected,Zone 0 – Control Panel,2025-05-31,10:47,1st,Critical,E03,Mid,5,13,No,No,No,No,N/A,Unclassified
S00444,C2081,Factory,Technical,Low Battery,Zone 7 – Storage,2025-02-04,21:26,2nd,Low,E05,Mid,4,15,No,No,No,No,Maintenance,False Alarm – Maintenance
S00445,C2058,Shop,Tamper,Cover Removed,Zone 8 – Control Room,2025-04-23,14:53,1st,Low,E09,Junior,12,21,No,No,No,No,Dust,False Alarm – Dust
S00446,C2020,Home,Technical,Power Restored,Zone 2 – Living Room,2025-03-24,01:43,3rd,Low,E07,Junior,10,16,No,No,No,No,N/A,Unclassified
S00447,C2042,Office,Technical,Power Loss,Zone 9 – Hallway,2025-01-28,11:08,1st,Low,E07,Junior,14,16,No,No,No,No,Maintenance,False Alarm – Maintenance
S00448,C2083,Factory,Burglary,Glass Break,Zone 7 – Storage,2025-01-19,01:59,3rd,High,E07,Junior,10,13,No,No,No,No,Dust,False Alarm – Dust
S00449,C2057,Shop,Burglary,Motion Detected,Zone 6 – Office,2025-03-02,12:33,1st,Low,E01,Senior,1,11,No,No,No,No,Maintenance,False Alarm – Maintenance
S00450,C2090,Factory,Burglary,Glass Break,Zone 5 – Garage,2025-05-22,21:05,2nd,High,E04,Mid,8,90,Yes,Yes,No,Yes,N/A,Forced Entry
S00451,C2089,Factory,Technical,Power Restored,Zone 0 – Control Panel,2025-02-10,07:07,1st,Low,E08,Junior,14,22,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00452,C2066,Shop,Tamper,Cover Removed,Zone 7 – Storage,2025-06-18,00:24,3rd,Low,E06,Junior,15,25,No,No,No,No,Dust,False Alarm – Dust
S00453,C2012,Home,Burglary,Motion Detected,Zone 3 – Bedroom,2025-03-03,06:31,3rd,Medium,E06,Junior,9,13,No,No,No,No,Animal,False Alarm – Animal
S00454,C2017,Home,Fire,Heat Sensor,Zone 2 – Living Room,2025-01-20,07:40,1st,High,E07,Junior,11,16,No,No,No,No,Animal,False Alarm – Animal
